metric_desc,metric_val_30,metric_val_25,metric_val_20,metric_val_15,metric_val_10,metric_val_5,metric_val_0
opened:messagealertemail:Unknown,0.0000,13.9400,37.3900,42.2600,47.6200,47.2500,48.6200
opened:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:passwordresetemail:No Event Type,63.3500,62.6300,69.6300,70.4400,70.2600,70.5500,71.0900
opened:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:welcomeemail:No Event Type,42.1600,45.8700,50.1900,50.2400,49.8500,52.3900,53.8300
opened:setupleadscanningcalltoactionemail:No Event Type,40.0000,54.5500,54.5500,63.6400,72.7300,81.8200,81.8200
opened:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:welcomeemail:Corporate Internal,41.0400,44.6400,45.2800,43.6900,48.2600,48.9100,49.5900
opened:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
opened:passwordresetemail:Corporate Internal,63.9900,63.0500,59.4300,58.1200,56.5100,57.1200,58.1800
opened:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:leadsreportemailemail:Expo,,44.4400,61.5400,64.7100,66.6700,73.6800,69.5700
opened:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
opened:messagealertemail:Corporate Internal,0.0000,5.8100,14.7100,19.6500,23.5900,24.9200,27.4000
opened:leadsreportemailemail:Conference,50.0000,50.0000,23.5300,31.4300,42.8600,42.8600,52.7800
clicked:dailydigestemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:messagealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:Conference,13.0600,11.8500,12.1400,11.8800,11.2700,11.3800,11.4500
clicked:setupleadscanningcalltoactionemail:Conference,26.9700,38.4600,43.6200,43.1600,44.2100,44.2100,44.7900
clicked:passwordresetemail:Conference,31.3900,30.2400,29.8700,30.0300,29.6500,29.9000,30.3400
clicked:beaconmessageinfoemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:exhibitoropportunityemail:Unknown,100.0000,100.0000,14.2900,14.2900,14.2900,14.2900,14.2900
clicked:passwordresetemail:Expo,38.6800,36.6000,37.8800,36.6600,36.1700,36.8100,36.8500
clicked:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:Expo,11.2600,3.6400,4.2100,5.0100,5.4500,6.0300,7.0100
clicked:setupleadscanningcalltoactionemail:Expo,17.5700,29.2200,33.3300,33.7400,34.5700,34.5700,34.5700
clicked:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
clicked:messagealertemail:Corporate External,0.0000,0.0400,0.1300,0.3900,0.3100,0.2900,0.3000
